ID,Title,Product/Workload,Status,Release phase,Targeted dates,Cloud instance,Short description,Official Roadmap link
MC1000269,(Updated) Microsoft Teams: New keyboard shortcut for adding emojis,Microsoft Teams,,,2025-02-07T23:03:35Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=369345
MC1009930,"(Updated) Microsoft Teams: Distinguish invites among Attendee, Presenter, and Co-organizer emails",Microsoft Teams,,,2025-02-19T00:45:30Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, Feature update, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=476488
MC1017117,(Updated) Microsoft Teams: Facilitator agent real-time notes in meetings,Microsoft Teams,,,2025-02-26T00:28:48Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=478611
MC1017119,(Updated) SharePoint: OneDrive and SharePoint – Protect PDF with password,Microsoft OneDrive,,,2025-02-26T00:29:57Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=482193
MC1019312,(Updated) Microsoft Teams: Meeting participants can request collaborative annotation sessions,Microsoft Teams,,,2025-02-28T01:28:59Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=89975
MC1020219,(Updated) Agents in Microsoft 365 Copilot Chat in Outlook,"Microsoft 365 for the web, Microsoft 365 apps",,,2025-02-28T22:18:47Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=481558
MC1024395,(Updated) Transitioning from user's OneDrive to SharePoint for Whiteboards created in Teams Channels,Microsoft Teams,,,2025-03-05T23:51:22Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, Feature update, User impact",
MC1024404,(Updated) Microsoft Entra: Browser access will be enabled by default for all Android users,Microsoft Entra,,,2025-03-05T23:57:40Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, Feature update, User impact, Admin impact, Retirement",https://techcommunity.microsoft.com/blog/microsoft-entra-blog/whats-new-in-microsoft-entra---september-2024/4253153
MC1025217,"(Updated) Microsoft Teams: In channels, the ""Shared"" tab (formerly the ""Files"" tab) will have new capabilities",Microsoft Teams,,,2025-03-07T01:18:23Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=470597
MC1037767,(Updated) Microsoft Teams: Share Teams apps and agents from their profile or the Teams side panel,Microsoft Teams,,,2025-03-20T23:00:40Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=483355
MC1041122,(Updated) Microsoft Viva Engage: New Communications Dashboard,Microsoft Viva,,,2025-03-25T18:20:43Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, Feature update, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=478656
MC1041451,(Updated) Microsoft Teams for iOS/Android: New location sharing settings for emergency calls and more,Microsoft Teams,,,2025-03-26T04:59:30Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, Feature update, User impact, Admin impact",https://learn.microsoft.com/windows/win32/nativewifi/wi-fi-access-location-changes
MC1041465,(Updated) New Microsoft Outlook for Windows and Outlook on the web: Optimized hover actions in the message list,"Exchange Online, Microsoft 365 for the web, Microsoft 365 apps",,,2025-03-26T05:09:54Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, Feature update, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=429868
MC1041470,(Updated) New Startup Boost task from Microsoft Office installer for Office applications,Microsoft 365 apps,,,2025-03-26T05:10:38Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact, Admin impact",
MC1041756,(Updated) Microsoft Purview: IRM RBAC Change (related to Data Security Investigations) Preview,Microsoft Purview,,,2025-03-26T16:53:12Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?rtc=1%26filters%3D&amp;searchterms=485707
MC1041964,(Updated) Microsoft Outlook for iOS/Android: Large audience warnings for users,"Exchange Online, Microsoft 365 apps",,,2025-03-26T23:40:13Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://learn.microsoft.com/exchange/clients-and-mobile-in-exchange-online/mailtips/mailtips
MC1042925,(Updated) Microsoft Defender for Office 365: Enhancing page load performance,Microsoft Defender XDR,,,2025-03-28T05:31:38Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, Feature update, User impact, Admin impact",
MC1042926,(Updated) Microsoft Defender for Office 365: Platform migration for enhanced data storage and performance,Microsoft Defender XDR,,,2025-03-28T05:32:33Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, Feature update, User impact, Admin impact",
MC1043462,(Updated) Microsoft Purview / Data Security Posture Management for AI: Additional Copilot integrations,Microsoft Purview,,,2025-03-28T23:56:48Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, Admin impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=486697
MC1045211,"(Updated) Microsoft Viva Engage: Private content mode will retire as of June 30th, 2025",Microsoft Viva,,,2025-03-31T22:33:05Z,Worldwide (Standard Multi-Tenant),"planForChange; Updated message, User impact, Admin impact, Retirement",https://learn.microsoft.com/en-us/purview/edisc
MC1045227,(Updated) Microsoft Viva Connections cards in SharePoint agents,"SharePoint Online, Microsoft Viva",,,2025-03-31T22:42:05Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact",https://www.microsoft.com/microsoft-365/roadmap?filters=&amp;searchterms=412621
MC1047244,(Updated) Microsoft Teams: New town hall event access policy,Microsoft Teams,,,2025-04-03T02:06:48Z,Worldwide (Standard Multi-Tenant),"stayInformed; Updated message, New feature, User impact, Admin impact","Microsoft Teams is updating its town hall event access policy. Admins can now control who can attend town halls with the new `TownhallEventAttendeeAccess` setting. The rollout will occur from mid to late June 2025. The default setting is `Everyone`, but it can be changed using Microsoft PowerShell. More details are available [here](https://www.microsoft.com/microsoft-365/roadmap?filters=&searchterms=483250)."
