id,title,status,phase,targeted_dates,cloud_instances,link
496654,Microsoft Viva: Copilot Analytics - Copilot Employee Experience Outcomes Report with Viva Glint,In development,General Availability,August CY2025,worldwide (standard multi-tenant),https://www.microsoft.com/microsoft-365/roadmap?featureid=496654
486856,Microsoft 365: Microsoft 365 companion apps- a suite of apps designed to enhance productivity,In development,General Availability,,worldwide (standard multi-tenant),https://www.microsoft.com/microsoft-365/roadmap?featureid=486856
496149,Microsoft Purview compliance portal: Insider Risk Management - Personal email triggers,In development,General Availability,July CY2025,worldwide (standard multi-tenant);gcc;gcc high;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=496149
481138,Microsoft Copilot (Microsoft 365): Voice chat in Microsoft 365 Copilot,In development,General Availability,,worldwide (standard multi-tenant),https://www.microsoft.com/microsoft-365/roadmap?featureid=481138
498914,Outlook: New Scheduling and Event Creation Experience,In development,General Availability,August CY2025,worldwide (standard multi-tenant),https://www.microsoft.com/microsoft-365/roadmap?featureid=498914
497298,Microsoft Copilot (Microsoft 365): Copilot Chat Tools Control,In development,General Availability,,worldwide (standard multi-tenant);gcc;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=497298
499656,Microsoft Copilot (Microsoft 365): [Copilot Chat] Email attachment summarization (Classic Attachments),In development,General Availability,,worldwide (standard multi-tenant),https://www.microsoft.com/microsoft-365/roadmap?featureid=499656
499425,Microsoft Copilot (Microsoft 365): Generating PPT grounded on a Copilot Page,In development,General Availability,,worldwide (standard multi-tenant),https://www.microsoft.com/microsoft-365/roadmap?featureid=499425
499421,Microsoft Viva: Enhancement to Copilot studio agents report,In development,General Availability,August CY2025,worldwide (standard multi-tenant),https://www.microsoft.com/microsoft-365/roadmap?featureid=499421
499426,Microsoft Copilot (Microsoft 365): Copilot Dashboard: Copilot Chat (Web) in Teams & Outlook metrics,In development,General Availability,,worldwide (standard multi-tenant),https://www.microsoft.com/microsoft-365/roadmap?featureid=499426
499152,Microsoft Copilot (Microsoft 365): Save an audio overview from Copilot Notebooks to OneDrive,Rolling out,General Availability,,worldwide (standard multi-tenant),https://www.microsoft.com/microsoft-365/roadmap?featureid=499152
499151,"Microsoft Copilot (Microsoft 365): Configurate format, style, and duration of Audio Overviews in Copilot Notebooks",In development,General Availability,,worldwide (standard multi-tenant),https://www.microsoft.com/microsoft-365/roadmap?featureid=499151
499149,Microsoft Copilot (Microsoft 365): Updated UI for Copilot Chat Navigation Pane in Outlook,In development,General Availability,,worldwide (standard multi-tenant);gcc;gcc high;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=499149
499148,Microsoft Copilot (Microsoft 365): Updated UI for the Copilot Chat Navigation Pane in Teams,In development,General Availability,,worldwide (standard multi-tenant);gcc;gcc high;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=499148
498496,Microsoft Teams: Search for meetings,In development,General Availability,,worldwide (standard multi-tenant);gcc;gcc high;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=498496
499077,Planner: Information Barrier support in Planner,In development,General Availability,August CY2025,worldwide (standard multi-tenant),https://www.microsoft.com/microsoft-365/roadmap?featureid=499077
499025,Microsoft Copilot (Microsoft 365): On-Canvas Copilot and Private Preview in Shared Pages,In development,General Availability,,worldwide (standard multi-tenant),https://www.microsoft.com/microsoft-365/roadmap?featureid=499025
498895,Microsoft Teams: Regional Settings Separation,Rolling out,General Availability,,worldwide (standard multi-tenant);gcc;gcc high;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=498895
498490,Microsoft Teams: Dedicated download option for tracking all registrations in Webinar,Rolling out,General Availability,,worldwide (standard multi-tenant),https://www.microsoft.com/microsoft-365/roadmap?featureid=498490
497910,Microsoft Copilot (Microsoft 365): Filtering Conversation History,In development,General Availability,,worldwide (standard multi-tenant);gcc;gcc high;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=497910
497544,Word: 3rd party citation add-in in reference tab,In development,General Availability,,gcc;gcc high;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=497544
498578,Microsoft Teams: Emoji Reactions Workflows,In development,General Availability,July CY2025,worldwide (standard multi-tenant);gcc,https://www.microsoft.com/microsoft-365/roadmap?featureid=498578
