id,title,status,phase,targeted_dates,cloud_instances,link
500377,Microsoft Copilot (Microsoft 365): Copilot Chat - Support for emails in ContextIQ,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=500377
499893,Microsoft Teams: Malicious URL Protection for Teams Chat and Channels ,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=499893
499892,Microsoft Teams: Weaponizable File Type Protection for Teams Chat and Channels ,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=499892
499891,"Microsoft Teams: Facilitator
agent for scheduled and ad-hoc meetings in Teams Rooms on Windows",In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=499891
496654,Microsoft Viva: Copilot Analytics - Copilot Employee Experience Outcomes Report with Viva Glint,In development,{'tagName': 'General Availability'},August CY2025,,https://www.microsoft.com/microsoft-365/roadmap?featureid=496654
500375,Microsoft Copilot (Microsoft 365): Larger file upload support in Copilot Studio agent builder,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=500375
500161,Microsoft Viva: Copilot Analytics - Unified Exclusion list,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=500161
500017,Microsoft Teams: Immersive events in Microsoft Teams,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=500017
499661,Microsoft Viva: Viva Glint - Export Executive Summary report in Viva Glint to editable PowerPoint slides,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=499661
499615,Microsoft Teams: Simplified device settings for voice and face recognition on Teams Rooms”,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=499615
500396,"Microsoft Purview Compliance Portal: Expanding access to Diagnostics to Compliance Administrator, Security Administrator and Organization Management",In development,{'tagName': 'General Availability'},October CY2025,,https://www.microsoft.com/microsoft-365/roadmap?featureid=500396
500376,Microsoft Copilot (Microsoft 365): Admin control for org-wide agent sharing,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=500376
500162,Microsoft Edge: HTTPS First Mode ,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=500162
486856,Microsoft 365: Microsoft 365 companion apps- a suite of apps designed to enhance productivity ,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=486856
500242,Microsoft Teams: Intelligent recap for DoD,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=500242
499894,Microsoft Teams: Support for multiple camera views and IntelliFrame from Teams Rooms on Windows in Teams webinar and structured meetings,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=499894
499800,Microsoft Teams: Live caption translation in Teams Rooms on Android,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=499800
499620,Microsoft Teams: Customize captions on Mobile,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=499620
496149,Microsoft Purview compliance portal: Insider Risk Management - Personal email triggers,In development,{'tagName': 'General Availability'},July CY2025,,https://www.microsoft.com/microsoft-365/roadmap?featureid=496149
498491,Microsoft Purview compliance portal: Tip Support in Outlook for Mac,In development,{'tagName': 'General Availability'},October CY2025,,https://www.microsoft.com/microsoft-365/roadmap?featureid=498491
500020,OneNote: Microsoft Purview Sensitivity Labels in OneNote,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=500020
500018,"Microsoft Viva: Storyline & Post Enhancements, Cover Photos, Drafts, AMAs, and More",In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=500018
499614,Microsoft Teams: Cloud IntelliFrame support on Teams Rooms on Android,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=499614
499899,Microsoft Viva: Copilot Dashboard - M365 Copilot Chat adoption metrics,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=499899
499896,Microsoft Viva: Live event using Teams Town hall in Viva Engage,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=499896
481138,Microsoft Copilot (Microsoft 365): Voice chat in Microsoft 365 Copilot,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=481138
498159,Microsoft Teams: Chat Notes,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=498159
499900,Outlook: Send Button update,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=499900
499616,Microsoft Teams: Enhanced privacy and stability for live captions ,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=499616
499422,Microsoft Viva: Copilot Analytics - Copilot Studio agent report in Insights enhanced with autonomous agents.,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=499422
498914,Outlook: New Scheduling and Event Creation Experience,In development,{'tagName': 'General Availability'},August CY2025,,https://www.microsoft.com/microsoft-365/roadmap?featureid=498914
497939, Microsoft Copilot (Microsoft 365): Update document sections from new sources,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=497939
497298,Microsoft Copilot (Microsoft 365): Copilot Chat Tools Control,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=497298
499424,Microsoft Edge: Ground Microsoft 365 Copilot Chat in Edge for Business in your open YouTube videos,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=499424
499423,Microsoft Edge: Ground Microsoft 365 Copilot Chat in Edge for Business in your open OneDrive and SharePoint documents,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=499423
499809,Microsoft Copilot (Microsoft 365): Harmful Content Protection Controls in Microsoft 365 Copilot Chat,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=499809
499428,Microsoft Copilot (Microsoft 365): Enhanced document editing support in Word,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=499428
499657,"Microsoft Copilot (Microsoft 365): [Copilot Chat] Email attachment summarization (Modern Attachments, Item Attachments)",In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=499657
499656,Microsoft Copilot (Microsoft 365): [Copilot Chat] Email attachment summarization (Classic Attachments),In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=499656
499654,SharePoint: Updates to News page in SharePoint sites,In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=499654
499432,Microsoft Purview compliance portal: Endpoint Data Loss Prevention -- Always-on diagnostics for macOS endpoints (Phase 1),In development,{'tagName': 'General Availability'},,,https://www.microsoft.com/microsoft-365/roadmap?featureid=499432
499431,Microsoft Purview compliance portal: Endpoint Data Loss Prevention -- Always-on diagnostics for Windows Endpoints (Phase 2),In development,{'tagName': 'General Availability'},September CY2025,,https://www.microsoft.com/microsoft-365/roadmap?featureid=499431
