id,title,status,phase,targeted_dates,cloud_instances,link
496149,Microsoft Purview compliance portal: Insider Risk Management - Personal email triggers,In development,General Availability,July CY2025,worldwide (standard multi-tenant);gcc;gcc high;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=496149
497298,Microsoft Copilot (Microsoft 365): Copilot Chat Tools Control,In development,General Availability,,worldwide (standard multi-tenant);gcc;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=497298
499149,Microsoft Copilot (Microsoft 365): Updated UI for Copilot Chat Navigation Pane in Outlook,In development,General Availability,,worldwide (standard multi-tenant);gcc;gcc high;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=499149
499148,Microsoft Copilot (Microsoft 365): Updated UI for the Copilot Chat Navigation Pane in Teams,In development,General Availability,,worldwide (standard multi-tenant);gcc;gcc high;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=499148
498496,Microsoft Teams: Search for meetings,In development,General Availability,,worldwide (standard multi-tenant);gcc;gcc high;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=498496
498895,Microsoft Teams: Regional Settings Separation,Rolling out,General Availability,,worldwide (standard multi-tenant);gcc;gcc high;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=498895
497910,Microsoft Copilot (Microsoft 365): Filtering Conversation History,In development,General Availability,,worldwide (standard multi-tenant);gcc;gcc high;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=497910
497544,Word: 3rd party citation add-in in reference tab,In development,General Availability,,gcc;gcc high;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=497544
498578,Microsoft Teams: Emoji Reactions Workflows,In development,General Availability,July CY2025,worldwide (standard multi-tenant);gcc,https://www.microsoft.com/microsoft-365/roadmap?featureid=498578
497838,Microsoft Purview compliance portal: Endpoint Data Loss Prevention - Ability to fetch the original file resulting in policy match as evidence (Microsoft Managed storage),In development,General Availability,,gcc;gcc high;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=497838
498896,Microsoft Intune: Application Control for Business,In development,General Availability,,worldwide (standard multi-tenant);gcc;gcc high;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=498896
498355,Microsoft Teams: New VDI solution for Teams optimization in Amazon WorkSpaces,In development,General Availability,,worldwide (standard multi-tenant);gcc,https://www.microsoft.com/microsoft-365/roadmap?featureid=498355
498545,Microsoft Copilot (Microsoft 365): Unified Conversations (Chat History) List,In development,General Availability,,worldwide (standard multi-tenant);gcc;gcc high;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=498545
498322,Microsoft Viva: Custom font and theme support for Viva Amplify,In development,General Availability,,gcc,https://www.microsoft.com/microsoft-365/roadmap?featureid=498322
498323,Microsoft Viva: Unread News Notifications in Connections,In development,General Availability,,worldwide (standard multi-tenant);gcc;gcc high;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=498323
498233,Microsoft Viva: News AI audio briefing in Connections Mobile,In development,General Availability,,worldwide (standard multi-tenant);gcc;gcc high;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=498233
497299,Microsoft 365: New Trust Center settings to block file opens using insecure protocols,In development,General Availability,July CY2025,worldwide (standard multi-tenant);gcc;gcc high;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=497299
496597,Microsoft Copilot (Microsoft 365): Expanded Input Box on Copilot Chat,In development,General Availability,,worldwide (standard multi-tenant);gcc;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=496597
497142,Microsoft Viva: News AI audio briefing,In development,General Availability,,worldwide (standard multi-tenant);gcc;gcc high;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=497142
497136,Microsoft Purview compliance portal: Data Loss Prevention - restrict Microsoft 365 Copilot processing on content with sensitivity labels,Rolling out,General Availability,,gcc;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=497136
495465,Microsoft Places: Microsoft Places Support to GCC cloud,In development,General Availability,,gcc,https://www.microsoft.com/microsoft-365/roadmap?featureid=495465
496988,OneDrive: Sync admin reports - GCC-H and DoD,In development,General Availability,,gcc high;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=496988
496175,Microsoft Teams: Compact Notification Size,Rolling out,General Availability,,worldwide (standard multi-tenant);gcc;gcc high;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=496175
496369,Microsoft Teams: Saved messages,Rolling out,General Availability,,worldwide (standard multi-tenant);gcc;gcc high;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=496369
496652,Microsoft Purview compliance portal: Data Lifecycle Management - Separate Retention policies for Copilots and AI Apps,Launched,General Availability,,gcc;dod,https://www.microsoft.com/microsoft-365/roadmap?featureid=496652
